,Text,Gospel
0,Libro de la genealogía de,1
1,"Jesucristo, hijo de David, hijo de Abraham. Abraham engendró a Isaac,",1
2,"Isaac a Jacob, y Jacob a Judá y a sus hermanos. Judá engendró de",1
3,"Tamar a Fares y a Zara, Fares a Esrom, y Esrom a Aram. Aram",1
4,"engendró a Aminadab, Aminadab a Naasón, y Naasón",1
5,"a Salmón. Salmón engendró de Rahab a Booz, Booz engendró",1
6,"de Rut a Obed, y",1
7,"Obed a Isaí. Isaí engendró al rey David, y el rey David engendró a",1
8,Salomón de la que fue mujer de,1
9,"Urías. Salomón engendró a Roboam, Roboam a Abías,",1
10,"y Abías a Asa. Asa engendró a Josafat, Josafat a",1
11,"Joram, y Joram a Uzías.",1
12,"Uzías engendró a Jotam, Jotam a Acaz, y Acaz a Ezequías. Ezequías engendró",1
13,"a Manasés, Manasés a Amón, y Amón a Josías. Josías",1
14,"engendró a Jeconías y a sus hermanos, en el tiempo",1
15,de la deportación a Babilonia. Después de la,1
16,"deportación a Babilonia, Jeconías engendró a",1
17,"Salatiel, y Salatiel a Zorobabel. Zorobabel engendró a Abiud, Abiud a Eliaquim,",1
18,"y Eliaquim a Azor. Azor engendró a Sadoc, Sadoc a Aquim, y Aquim a",1
19,"Eliud. Eliud engendró a Eleazar, Eleazar a Matán, Matán a Jacob; y",1
20,"Jacob engendró a José, marido de María, de la cual nació Jesús, llamado el",1
21,Cristo. De manera que todas las,1
22,generaciones desde Abraham hasta David son catorce; desde David hasta la deportación,1
23,"a Babilonia, catorce; y desde la deportación a Babilonia hasta",1
24,"Cristo, catorce. El nacimiento de Jesucristo fue así: Estando",1
25,"desposada María su madre con José, antes que se",1
26,"juntasen, se halló que había concebido del Espíritu Santo. José su marido, como era",1
27,"justo, y no quería infamarla,",1
28,"quiso dejarla secretamente. Y pensando él en esto, he aquí un ángel del Señor",1
29,"le apareció en sueños y le dijo: José, hijo de",1
30,"David, no temas recibir a María tu mujer, porque lo que en ella es engendrado,",1
31,del Espíritu Santo es. Y dará,1
32,"a luz un hijo, y llamarás su nombre JESÚS, porque él",1
33,salvará a su pueblo de sus pecados. Todo esto aconteció,1
34,para que se cumpliese lo dicho por el Señor,1
35,"por medio del profeta, cuando dijo: He aquí, una virgen concebirá y dará a",1
36,"luz un hijo, Y llamarás su nombre Emanuel, que traducido es: Dios con nosotros. Y",1
37,"despertando José del sueño, hizo como el ángel del Señor le había",1
38,"mandado, y recibió a su mujer. Pero no la conoció",1
39,hasta que dio a luz a,1
40,su hijo primogénito; y le puso por nombre JESÚS. Cuando Jesús nació en,1
41,"Belén de Judea en días del rey Herodes, vinieron del oriente a",1
42,"Jerusalén unos magos, diciendo: ¿Dónde",1
43,"está el rey de los judíos,",1
44,"que ha nacido? Porque su estrella hemos visto en el oriente, y",1
45,"venimos a adorarle. Oyendo esto,",1
46,"el rey Herodes se turbó, y toda",1
47,"Jerusalén con él. Y convocados todos los principales sacerdotes, y los escribas",1
48,"del pueblo, les preguntó dónde había de nacer el Cristo. Ellos le dijeron: En",1
49,"Belén de Judea; porque así está escrito por el profeta: Y tú, Belén,",1
50,"de la tierra de Judá, No eres la más pequeña",1
51,entre los príncipes de Judá;,1
52,"Porque de ti saldrá un guiador,",1
53,"Que apacentará a mi pueblo Israel. Entonces Herodes,",1
54,"llamando en secreto a los magos, indagó de ellos diligentemente el tiempo de",1
55,"la aparición de la estrella; y enviándolos a Belén, dijo: Id allá y averiguad",1
56,"con diligencia acerca del niño; y cuando le halléis, hacédmelo",1
57,"saber, para que yo también vaya y le adore. Ellos, habiendo oído al rey,",1
58,se fueron; y he aquí la estrella,1
59,"que habían visto en el oriente iba delante de ellos,",1
60,"hasta que llegando, se detuvo sobre donde estaba el niño. Y",1
61,"al ver la estrella, se regocijaron con muy grande gozo. Y al",1
62,"entrar en la casa, vieron al niño con su madre María,",1
63,"y postrándose, lo adoraron; y abriendo sus tesoros, le ofrecieron presentes: oro,",1
64,incienso y mirra. Pero siendo avisados por revelación en sueños que,1
65,"no volviesen a Herodes, regresaron a su tierra por otro",1
66,"camino. Después que partieron ellos, he aquí",1
67,un ángel del Señor apareció en sueños a José y dijo: Levántate,1
68,y toma al niño y a,1
69,"su madre, y huye a Egipto, y permanece allá hasta que yo te diga; porque",1
70,acontecerá que Herodes buscará al niño para matarlo.,1
71,"Y él, despertando, tomó de noche al niño y a su madre, y",1
72,"se fue a Egipto, y estuvo allá hasta la muerte de",1
73,Herodes; para que se cumpliese lo que dijo el Señor,1
74,"por medio del profeta, cuando dijo: De Egipto llamé a mi Hijo. Herodes",1
