,Text,Gospel
0,"Principio del evangelio de Jesucristo, Hijo de Dios. Como está",2
1,escrito en Isaías el profeta: He aquí yo envío mi mensajero delante de tu,2
2,"faz, El cual preparará tu",2
3,camino delante de ti. Voz del que clama,2
4,en el desierto: Preparad el camino del Señor; Enderezad sus sendas. Bautizaba Juan,2
5,"en el desierto, y predicaba el bautismo",2
6,de arrepentimiento para perdón de pecados. Y salían a él toda la,2
7,"provincia de Judea, y todos los de Jerusalén; y eran bautizados por",2
8,"él en el río Jordán,",2
9,"confesando sus pecados. Y Juan estaba vestido de pelo de camello, y tenía un cinto",2
10,de cuero alrededor de sus lomos; y comía langostas,2
11,"y miel silvestre. Y predicaba, diciendo:",2
12,"Viene tras mí el que es más poderoso que yo, a quien no soy digno",2
13,de desatar encorvado la correa de su calzado. Yo a la verdad os he bautizado,2
14,con agua; pero él os bautizará con Espíritu Santo.,2
15,"Aconteció en aquellos días, que Jesús vino de Nazaret de Galilea,",2
16,y fue bautizado por Juan en el,2
17,"Jordán. Y luego, cuando subía del agua, vio",2
18,"abrirse los cielos, y al Espíritu como paloma",2
19,que descendía sobre él. Y vino una voz de los cielos que decía:,2
20,Tú eres mi Hijo amado; en ti tengo complacencia. Y luego el Espíritu le,2
21,impulsó al desierto. Y estuvo allí en el desierto cuarenta,2
22,"días, y era tentado por",2
23,"Satanás, y estaba con las fieras; y los ángeles le servían. Después",2
24,"que Juan fue encarcelado, Jesús vino a Galilea",2
25,"predicando el evangelio del reino de Dios, diciendo: El",2
26,"tiempo se ha cumplido, y el reino de Dios",2
27,"se ha acercado; arrepentíos, y creed en el evangelio. Andando junto al mar",2
28,"de Galilea, vio a Simón y",2
29,"a Andrés su hermano, que echaban",2
30,la red en el mar; porque eran,2
31,"pescadores. Y les dijo Jesús: Venid en pos de mí, y",2
32,haré que seáis pescadores de hombres. Y dejando luego sus,2
33,"redes, le siguieron. Pasando de allí un poco",2
34,"más adelante, vio a Jacobo hijo de Zebedeo, y a Juan",2
35,"su hermano, también ellos en",2
36,"la barca, que remendaban las redes. Y luego los llamó; y dejando a su padre",2
37,"Zebedeo en la barca con los jornaleros, le siguieron. Y entraron en Capernaum; y",2
38,"los días de reposo, entrando en la sinagoga, enseñaba. Y se admiraban de su",2
39,"doctrina; porque les enseñaba como quien tiene autoridad, y",2
40,no como los escribas. Pero había en la sinagoga de ellos un hombre con espíritu,2
41,"inmundo, que dio voces, diciendo: ¡Ah! ¿qué tienes con nosotros, Jesús nazareno?",2
42,"¿Has venido para destruirnos? Sé quién eres, el Santo de Dios.",2
43,"Pero Jesús le reprendió, diciendo: ¡Cállate, y sal de él!",2
44,"Y el espíritu inmundo, sacudiéndole con violencia, y clamando",2
45,"a gran voz, salió de él. Y todos se asombraron, de tal manera que discutían",2
46,"entre sí, diciendo: ¿Qué es esto? ¿Qué nueva doctrina es esta, que",2
