,Text,Gospel
0,"Libro de la genealogía de Jesucristo, hijo de David, hijo",1
1,"de Abraham. Abraham engendró a Isaac, Isaac a Jacob, y Jacob",1
2,a Judá y a sus hermanos. Judá engendró de Tamar a Fares,1
3,"y a Zara, Fares a",1
4,"Esrom, y Esrom a Aram. Aram",1
5,"engendró a Aminadab, Aminadab a Naasón, y",1
6,Naasón a Salmón. Salmón engendró,1
7,"de Rahab a Booz, Booz engendró de Rut",1
8,"a Obed, y Obed a Isaí. Isaí engendró",1
9,"al rey David, y el",1
10,rey David engendró a Salomón de,1
11,la que fue mujer de Urías. Salomón engendró a,1
12,"Roboam, Roboam a Abías, y Abías a Asa. Asa engendró a Josafat, Josafat a Joram,",1
13,"y Joram a Uzías. Uzías engendró a Jotam, Jotam a Acaz, y Acaz",1
14,"a Ezequías. Ezequías engendró a Manasés, Manasés a Amón, y Amón",1
15,a Josías. Josías engendró a Jeconías y a sus,1
16,"hermanos, en el tiempo de la deportación a",1
17,Babilonia. Después de la deportación a,1
18,"Babilonia, Jeconías engendró a Salatiel,",1
19,"y Salatiel a Zorobabel. Zorobabel engendró a Abiud, Abiud a Eliaquim, y Eliaquim",1
20,"a Azor. Azor engendró a Sadoc, Sadoc",1
21,"a Aquim, y Aquim a Eliud. Eliud engendró a Eleazar, Eleazar a Matán,",1
22,"Matán a Jacob; y Jacob engendró a José, marido de María, de la",1
23,"cual nació Jesús, llamado el",1
24,Cristo. De manera que todas las generaciones desde Abraham hasta David,1
25,"son catorce; desde David hasta la deportación a Babilonia, catorce; y desde la deportación",1
26,"a Babilonia hasta Cristo, catorce. El nacimiento de Jesucristo",1
27,"fue así: Estando desposada María su madre con José, antes que se",1
28,"juntasen, se halló que había concebido del",1
29,"Espíritu Santo. José su marido, como era justo, y no quería",1
30,"infamarla, quiso dejarla secretamente. Y pensando él en esto, he aquí un",1
31,"ángel del Señor le apareció en sueños y le dijo: José, hijo de David,",1
32,"no temas recibir a María tu mujer,",1
33,"porque lo que en ella es engendrado, del Espíritu Santo es. Y dará a",1
34,"luz un hijo, y llamarás su nombre JESÚS, porque él salvará a",1
35,su pueblo de sus pecados. Todo esto aconteció para que,1
36,se cumpliese lo dicho por el Señor por medio del,1
37,"profeta, cuando dijo: He aquí, una virgen concebirá y dará a luz un hijo, Y",1
38,"llamarás su nombre Emanuel, que",1
39,"traducido es: Dios con nosotros. Y despertando José del sueño, hizo como el ángel",1
40,"del Señor le había mandado, y recibió a su mujer. Pero no",1
41,la conoció hasta que dio a luz a su hijo,1
42,primogénito; y le puso por nombre JESÚS. Cuando,1
43,Jesús nació en Belén de Judea en días del rey,1
44,"Herodes, vinieron del oriente a Jerusalén unos magos, diciendo: ¿Dónde está el rey de",1
45,"los judíos, que ha nacido? Porque su estrella hemos visto en el oriente,",1
46,"y venimos a adorarle. Oyendo esto, el rey Herodes se turbó, y toda Jerusalén con",1
47,"él. Y convocados todos los principales sacerdotes, y los escribas del pueblo, les",1
48,preguntó dónde había de nacer el Cristo. Ellos le dijeron: En Belén de Judea; porque,1
49,"así está escrito por el profeta: Y tú, Belén, de",1
50,"la tierra de Judá, No eres la más pequeña entre los príncipes",1
51,"de Judá; Porque de ti saldrá un guiador, Que apacentará a mi",1
52,"pueblo Israel. Entonces Herodes, llamando en secreto",1
53,"a los magos, indagó de ellos diligentemente el tiempo de",1
54,la aparición de la estrella; y enviándolos,1
55,"a Belén, dijo: Id allá y averiguad con diligencia acerca del niño; y cuando",1
56,"le halléis, hacédmelo saber, para que yo también vaya y",1
57,"le adore. Ellos, habiendo oído al rey, se fueron;",1
58,y he aquí la estrella que habían,1
59,"visto en el oriente iba delante de ellos,",1
60,"hasta que llegando, se detuvo sobre donde estaba",1
61,"el niño. Y al ver la estrella, se",1
62,"regocijaron con muy grande gozo. Y al entrar en la casa,",1
63,"vieron al niño con su madre María, y postrándose, lo adoraron; y abriendo sus",1
64,"tesoros, le ofrecieron presentes: oro, incienso y mirra. Pero siendo avisados por",1
65,"revelación en sueños que no volviesen a Herodes,",1
66,"regresaron a su tierra por otro camino. Después que partieron ellos, he",1
67,aquí un ángel del Señor apareció en sueños a José y dijo:,1
68,"Levántate y toma al niño y a su madre,",1
69,"y huye a Egipto, y permanece",1
70,allá hasta que yo te,1
71,"diga; porque acontecerá que Herodes buscará al niño para matarlo. Y él, despertando, tomó",1
72,"de noche al niño y a su madre, y se",1
73,"fue a Egipto, y estuvo allá hasta la muerte de Herodes; para que se cumpliese",1
74,"lo que dijo el Señor por medio del profeta, cuando dijo: De",1
75,"Egipto llamé a mi Hijo. Herodes entonces, cuando se vio burlado por los magos, se",1
76,"enojó mucho, y mandó matar a todos los niños menores de dos años que",1
77,"había en Belén y en todos sus alrededores, conforme al tiempo",1
78,que había inquirido de los magos. Entonces se cumplió lo que fue dicho por,1
79,"el profeta Jeremías, cuando dijo: Voz fue oída en Ramá, Grande",1
80,"lamentación, lloro y gemido; Raquel que llora a",1
81,"sus hijos, Y no quiso ser consolada,",1
82,"porque perecieron. Pero después de muerto Herodes,",1
83,he aquí un ángel del Señor apareció en,1
84,"sueños a José en Egipto, diciendo:",1
85,"Levántate, toma al niño y a su madre, y",1
86,"vete a tierra de Israel, porque han muerto los que procuraban",1
87,"la muerte del niño. Entonces él se levantó, y tomó al",1
88,"niño y a su madre, y vino a tierra de Israel.",1
89,Pero oyendo que Arquelao reinaba en Judea en lugar,1
90,"de Herodes su padre, tuvo temor de",1
91,"ir allá; pero avisado por revelación en sueños, se fue a la región de Galilea,",1
92,"y vino y habitó en la ciudad que se llama Nazaret,",1
93,"para que se cumpliese lo que fue dicho por los profetas, que habría de ser",1
94,llamado nazareno. En aquellos días vino Juan el Bautista predicando en el desierto de,1
95,"Judea, y diciendo: Arrepentíos, porque el reino de los cielos",1
96,se ha acercado. Pues éste es aquel de,1
97,"quien habló el profeta Isaías,",1
98,cuando dijo: Voz del que clama en el desierto:,1
99,"Preparad el camino del Señor, Enderezad sus sendas. Y Juan estaba vestido de pelo",1
100,"de camello, y tenía un cinto de cuero alrededor de sus lomos; y su",1
101,comida era langostas y miel silvestre. Y salía,1
102,"a él Jerusalén, y toda Judea, y toda la provincia de alrededor",1
103,"del Jordán, y eran bautizados por él en el Jordán, confesando",1
104,sus pecados. Al ver él que,1
105,"muchos de los fariseos y de los saduceos venían a su bautismo, les decía:",1
106,"¡Generación de víboras! ¿Quién os enseñó a huir de la ira venidera? Haced, pues,",1
107,"frutos dignos de arrepentimiento, y no penséis decir dentro de vosotros mismos: A Abraham",1
108,tenemos por padre; porque yo os digo que Dios puede levantar hijos,1
109,a Abraham aun de estas piedras.,1
110,Y ya también el hacha,1
111,está puesta a la raíz de,1
112,"los árboles; por tanto, todo árbol que no da buen fruto es",1
113,cortado y echado en el fuego. Yo a la verdad,1
114,os bautizo en agua para arrepentimiento; pero el,1
115,"que viene tras mí, cuyo calzado yo no soy digno",1
116,"de llevar, es más poderoso que yo; él os bautizará en",1
117,"Espíritu Santo y fuego. Su aventador está en su mano, y limpiará su era; y",1
118,recogerá su trigo en el,1
119,"granero, y quemará la paja en fuego que nunca se apagará. Entonces Jesús vino de",1
120,"Galilea a Juan al Jordán, para ser bautizado",1
121,por él. Mas Juan se,1
122,"le oponía, diciendo: Yo necesito ser bautizado por ti, ¿y tú vienes a mí? Pero",1
123,"Jesús le respondió: Deja ahora, porque así conviene",1
124,"que cumplamos toda justicia. Entonces le dejó. Y Jesús, después",1
125,"que fue bautizado, subió luego del agua; y he",1
126,"aquí los cielos le fueron abiertos, y",1
127,vio al Espíritu de Dios que descendía como,1
128,"paloma, y venía sobre él. Y hubo una voz de los",1
129,"cielos, que decía: Este es mi Hijo",1
130,"amado, en quien tengo complacencia. Entonces Jesús fue llevado por el Espíritu al desierto, para",1
131,ser tentado por el diablo. Y,1
132,después de haber ayunado cuarenta días y,1
133,"cuarenta noches, tuvo hambre. Y vino a él el tentador, y le dijo: Si eres",1
134,"Hijo de Dios, di que estas piedras se conviertan",1
135,en pan. Él respondió y dijo:,1
136,Escrito está: No sólo de pan vivirá el,1
137,"hombre, sino de toda palabra que sale de la boca de Dios. Entonces el",1
138,"diablo le llevó a la santa ciudad, y le puso sobre el pináculo del",1
139,"templo, y le dijo: Si eres Hijo de Dios, échate abajo; porque escrito está: A",1
140,"sus ángeles mandará acerca de ti, y, En sus manos te sostendrán, Para",1
141,que no tropieces con tu pie en piedra. Jesús le dijo: Escrito está también: No,1
142,tentarás al Señor tu Dios. Otra vez le llevó el diablo a un,1
143,"monte muy alto, y le mostró",1
144,"todos los reinos del mundo y la gloria de ellos, y le dijo:",1
145,"Todo esto te daré, si postrado me adorares. Entonces",1
146,"Jesús le dijo: Vete, Satanás, porque escrito está: Al Señor tu Dios adorarás, y a",1
147,él sólo servirás. El diablo,1
148,entonces le dejó; y he aquí vinieron ángeles,1
149,y le servían. Cuando Jesús oyó que,1
150,"Juan estaba preso, volvió a Galilea;",1
